id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	miller (2023)	"<table><tr><td>Authors:</td><td>miller, elizabeth j.; foo, yong zhi; mewton, paige; dawel, amy</td></tr><tr><td>Title:</td><td>how do people respond to computer-generated versus human faces? a systematic review and meta-analyses</td></tr><tr><td>Source:</td><td>computers in human behavior reports, 10</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chbr.2023.100283	1.1745	0.0216	7	1	3	1.5	2023	3	1.5
2	nussbaum (2023)	"<table><tr><td>Authors:</td><td>nussbaum, christine; poehlmann, manuel; kreysa, helene; schweinberger, stefan r.</td></tr><tr><td>Title:</td><td>perceived naturalness of emotional voice morphs</td></tr><tr><td>Source:</td><td>cognition & emotion, 37(4), 731-747</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1080/02699931.2023.2200920	-0.2197	-0.2098	8	16	2	1	2023	2	1
3	im (2023)	"<table><tr><td>Authors:</td><td>im, hyunjoo; sung, billy; lee, garim; kok, keegan qi xian</td></tr><tr><td>Title:</td><td>let voice assistants sound like a machine: voice and task type effects on perceived fluency, competence, and consumer attitude</td></tr><tr><td>Source:</td><td>computers in human behavior, 145</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2023.107791	0.6618	0.1651	1	3	4	2	2023	4	2
6	li (2023)	"<table><tr><td>Authors:</td><td>li, mingming; guo, fu; wang, xueshuang; chen, jiahao; ham, jaap</td></tr><tr><td>Title:</td><td>effects of robot gaze and voice human-likeness on users' subjective perception, visual attention, and cerebral activity in voice conversations</td></tr><tr><td>Source:</td><td>computers in human behavior, 141</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2022.107645	0.5367	0.005	1	3	2	1	2023	2	1
8	duville (2022)	"<table><tr><td>Authors:</td><td>duville, mathilde marie; alonso-valerdi, luz maria; ibarra-zarate, david i. i.</td></tr><tr><td>Title:</td><td>neuronal and behavioral affective perceptions of human and naturalness-reduced emotional prosodies</td></tr><tr><td>Source:</td><td>frontiers in computational neuroscience, 16</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fncom.2022.1022787	-0.3198	0.5323	4	4	1	0.2195	2022	1	0.2195
9	abdulrahman (2022)	"<table><tr><td>Authors:</td><td>abdulrahman, amal; richards, deborah</td></tr><tr><td>Title:</td><td>is natural necessary? human voice versus synthetic voice for intelligent virtual agents</td></tr><tr><td>Source:</td><td>multimodal technologies and interaction, 6(7)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/mti6070051	0.8714	-0.1503	1	5	4	0.878	2022	4	0.878
10	schreibelmayr (2022)	"<table><tr><td>Authors:</td><td>schreibelmayr, simon; mara, martina</td></tr><tr><td>Title:</td><td>robot voices in daily life: vocal human-likeness and application context as determinants of user acceptance</td></tr><tr><td>Source:</td><td>frontiers in psychology, 13</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fpsyg.2022.787499	0.5489	0.0651	1	6	8	1.7561	2022	8	1.7561
11	higgins (2022)	"<table><tr><td>Authors:</td><td>higgins, darragh; zibrek, katja; cabral, joao; egan, donal; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>sympathy for the digital: influence of synthetic voice on affinity, social presence and empathy for photorealistic virtual humans</td></tr><tr><td>Source:</td><td>computers & graphics-uk, 104, 116-128</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1016/j.cag.2022.03.009	0.7775	0.0269	1	4	12	2.6341	2022	12	2.6341
13	parmar (2022)	"<table><tr><td>Authors:</td><td>parmar, dhaval; olafsson, stefan; utami, dina; murali, prasanth; bickmore, timothy</td></tr><tr><td>Title:</td><td>designing empathic virtual agents: manipulating animation, voice, rendering, and empathy to create persuasive agents</td></tr><tr><td>Source:</td><td>autonomous agents and multi-agent systems, 36(1)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1007/s10458-021-09539-1	1.1377	0.0175	7	2	3	0.6585	2022	3	0.6585
15	abur (2021)	"<table><tr><td>Authors:</td><td>abur, defne; subaciute, austeja; daliri, ayoub; lester-smith, rosemary a.; lupiani, ashling a.; cilento, dante; enos, nicole m.; weerathunge, hasini r.; tardif, monique c.; stepp, cara e.</td></tr><tr><td>Title:</td><td>feedback and feedforward auditory-motor processes for voice and articulation in parkinson's disease</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 64(12), 4682-4694</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1044/2021_jslhr-21-00153	-0.6948	-0.3842	2	2	9	0.4528	2021	9	0.4528
