id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	miller (2023)	"<table><tr><td>Authors:</td><td>miller, elizabeth j.; foo, yong zhi; mewton, paige; dawel, amy</td></tr><tr><td>Title:</td><td>how do people respond to computer-generated versus human faces? a systematic review and meta-analyses</td></tr><tr><td>Source:</td><td>computers in human behavior reports, 10</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chbr.2023.100283	0.376	0.899	5	1	3	2	2023	3	2
2	nussbaum (2023)	"<table><tr><td>Authors:</td><td>nussbaum, christine; poehlmann, manuel; kreysa, helene; schweinberger, stefan r.</td></tr><tr><td>Title:</td><td>perceived naturalness of emotional voice morphs</td></tr><tr><td>Source:</td><td>cognition & emotion, 37(4), 731-747</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1080/02699931.2023.2200920	-0.3502	0.0389	4	20	2	1.3333	2023	2	1.3333
3	im (2023)	"<table><tr><td>Authors:</td><td>im, hyunjoo; sung, billy; lee, garim; kok, keegan qi xian</td></tr><tr><td>Title:</td><td>let voice assistants sound like a machine: voice and task type effects on perceived fluency, competence, and consumer attitude</td></tr><tr><td>Source:</td><td>computers in human behavior, 145</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2023.107791	0.0283	0.2095	2	6	4	2.6667	2023	4	2.6667
4	ko (2023)	"<table><tr><td>Authors:</td><td>ko, sangjin; barnes, jaclyn; dong, jiayuan; park, chung hyuk; howard, ayanna; jeon, myounghoon</td></tr><tr><td>Title:</td><td>the effects of robot voices and appearances on users' emotion recognition and subjective perception</td></tr><tr><td>Source:</td><td>international journal of humanoid robotics, 20(01)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1142/s0219843623500019	1.2035	-0.5424	6	1	1	0.6667	2023	1	0.6667
6	li (2023)	"<table><tr><td>Authors:</td><td>li, mingming; guo, fu; wang, xueshuang; chen, jiahao; ham, jaap</td></tr><tr><td>Title:</td><td>effects of robot gaze and voice human-likeness on users' subjective perception, visual attention, and cerebral activity in voice conversations</td></tr><tr><td>Source:</td><td>computers in human behavior, 141</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1016/j.chb.2022.107645	0.4644	0.1981	2	6	2	1.3333	2023	2	1.3333
7	shiramizu (2022)	"<table><tr><td>Authors:</td><td>shiramizu, victor kenji m.; lee, anthony j.; altenburg, daria; feinberg, david r.; jones, benedict c.</td></tr><tr><td>Title:</td><td>the role of valence, dominance, and pitch in perceptions of artificial intelligence (ai) conversational agents' voices</td></tr><tr><td>Source:</td><td>scientific reports, 12(1)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1038/s41598-022-27124-8	0.4685	0.4546	2	1	0	0	2022	0	0
8	duville (2022)	"<table><tr><td>Authors:</td><td>duville, mathilde marie; alonso-valerdi, luz maria; ibarra-zarate, david i. i.</td></tr><tr><td>Title:</td><td>neuronal and behavioral affective perceptions of human and naturalness-reduced emotional prosodies</td></tr><tr><td>Source:</td><td>frontiers in computational neuroscience, 16</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fncom.2022.1022787	-0.4881	-0.2367	4	5	1	0.2439	2022	1	0.2439
9	abdulrahman (2022)	"<table><tr><td>Authors:</td><td>abdulrahman, amal; richards, deborah</td></tr><tr><td>Title:</td><td>is natural necessary? human voice versus synthetic voice for intelligent virtual agents</td></tr><tr><td>Source:</td><td>multimodal technologies and interaction, 6(7)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/mti6070051	0.3852	0.4632	2	5	4	0.9756	2022	4	0.9756
10	schreibelmayr (2022)	"<table><tr><td>Authors:</td><td>schreibelmayr, simon; mara, martina</td></tr><tr><td>Title:</td><td>robot voices in daily life: vocal human-likeness and application context as determinants of user acceptance</td></tr><tr><td>Source:</td><td>frontiers in psychology, 13</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fpsyg.2022.787499	0.1788	0.224	2	8	8	1.9512	2022	8	1.9512
11	higgins (2022)	"<table><tr><td>Authors:</td><td>higgins, darragh; zibrek, katja; cabral, joao; egan, donal; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>sympathy for the digital: influence of synthetic voice on affinity, social presence and empathy for photorealistic virtual humans</td></tr><tr><td>Source:</td><td>computers & graphics-uk, 104, 116-128</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.1016/j.cag.2022.03.009	0.2777	0.3817	2	6	12	2.9268	2022	12	2.9268
