id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	assmann (2006)	"<table><tr><td>Authors:</td><td>assmann, peter f; dembling, sophie; nearey, terrance m</td></tr><tr><td>Title:</td><td>investigating the uncanny valley effect for prosody</td></tr><tr><td>Source:</td><td>interspeech 2006 and 9th international conference on spoken language processing, 1-5(19), 889-892</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"	https://doi.org/10.21437/interspeech.2006-297	0.9283	0.0855	9	1	0	1	2006	0	1
2	baird (2017)	"<table><tr><td>Authors:</td><td>baird, alice; joergensen, stina hasse; parada-cabaleiro, emilia; hantke, simone; cummins, nicholas; schuller, bjoern</td></tr><tr><td>Title:</td><td>perception of paralinguistic traits in synthesized voices</td></tr><tr><td>Source:</td><td>proceedings of am ’17, london, united kingdom, 999(12), 23-26</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1145/3123514.3123528	-0.42	-0.2136	6	3	0	0	2017	0	0
3	baird (2018a)	"<table><tr><td>Authors:</td><td>baird, alice; parada-cabaleiro, emilia; hantke, simone; burkhardt, felix; cummins, nicholas; schuller, bjoern</td></tr><tr><td>Title:</td><td>the perception and analysis of the likeability and human likeness of synthesized speech</td></tr><tr><td>Source:</td><td>interspeech 2018, 2863-2867</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.21437/interspeech.2018-1093	-0.5282	-0.0141	6	12	0	0	2018	0	0
4	cabral (2017)	"<table><tr><td>Authors:</td><td>cabral, joão paulo; cowan, benjamin r; zibrek, katja; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>the influence of synthetic voice on the evaluation of a virtual character</td></tr><tr><td>Source:</td><td>interspeech 2017, 999(2308-457x), 229-233</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.21437/interspeech.2017-325	-0.8842	-0.1598	4	9	0	0	2017	0	0
5	diel (2023)	"<table><tr><td>Authors:</td><td>diel, alexander; lewis, michael</td></tr><tr><td>Title:</td><td>the vocal uncanny valley: deviation from typical organic voices best explains uncanniness.</td></tr><tr><td>Source:</td><td>research square, 1-23</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.21203/rs.3.rs-2784067/v1	-0.5535	-0.0904	6	5	0	0	2023	0	0
6	ehret (2021)	"<table><tr><td>Authors:</td><td>ehret, jonathan; bönsch, andrea; aspöck, lukas; röhr, christine t; baumann, stefan; grice, martine; fels, janina; kuhlen, thorsten w</td></tr><tr><td>Title:</td><td>do prosody and embodiment influence the perceived naturalness of conversational agents’ speech?</td></tr><tr><td>Source:</td><td>acm trans. appl. percept., 18(4), 1-15</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1145/3486580	-0.7023	-0.1645	4	3	0	0	2021	0	0
7	eyssel (2012)	"<table><tr><td>Authors:</td><td>eyssel, friederike; kuchenbrandt, dieta; bobinger, simon; de ruiter, laura; hegel, frank</td></tr><tr><td>Title:</td><td>'if you sound like me, you must be more human’: on the interplay of robot and user features on human-robot acceptance and anthropomorphism</td></tr><tr><td>Source:</td><td>hri '12: proceedings of the seventh annual acm/ieee international conference on human-robot interaction, 7, 125-126</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1145/2157689.2157717	-0.8863	-0.0156	8	1	0	1	2012	0	1
8	ferstl (2021)	"<table><tr><td>Authors:</td><td>ferstl, ylva; thomas, sean; guiard, cédric; ennis, cathy; mcdonnell, rachel</td></tr><tr><td>Title:</td><td>human or robot?: investigating voice, appearance and gesture motion realism of conversational social agents</td></tr><tr><td>Source:</td><td>iva '21: proceedings of the 21st acm international conference on intelligent virtual agents, 21, 76-83</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1145/3472306.3478338	-0.7833	-0.0573	4	4	0	0	2021	0	0
10	klopfenstein (2016)	"<table><tr><td>Authors:</td><td>klopfenstein, marie</td></tr><tr><td>Title:</td><td>speech naturalness ratings and perceptual correlates of highly natural and unnatural speech in hypokinetic dysarthria secondary to parkinson’s disease</td></tr><tr><td>Source:</td><td>journal of interactional research in communication disorders, 7(1), 123-146</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1558/jircd.v7i1.27932	0.4889	0.5433	1	2	0	0	2016	0	0
12	mcginn (2019)	"<table><tr><td>Authors:</td><td>mcginn, conor; torre, ilaria</td></tr><tr><td>Title:</td><td>can you tell the robot by the voice? an exploratory study on the role of voice in the perception of robots</td></tr><tr><td>Source:</td><td>14th acm/ieee international conference on human-robot interaction (hri), 14, 211-221</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1109/hri.2019.8673279	-0.5616	-0.5305	5	2	0	0	2019	0	0
