Related concepts;Synonyms;;;
ecological validity;human-likeness;;;
artificial voices;animateness;;;
familiarity;dehumanization;;;
consumption value;regularity;;;
social value;animateness;;;
conditional value;human-likeness;;;
emotional value;human-likeness;;;
humanisation;realism;;;
trustworthiness;acceptability;;;
likeability;credibility;;;
intelligibility;appropriateness;;;
prosody;speech quality;;;
trustworthiness;realism;;;
confidence;human-likeness;;;
enthusiasm;anthropomorphism;;;
pleasentness;human-likeness;;;
likeability;anthropomorphism;;;
human-robot interaction;acceptance;;;
trustworthiness;realism;;;
eeriness;acceptability;;;
Uncanny valley;realism;;;
Uncanny valley;anthropomorphism;;;
Uncanny valley;anthropomorphism;;;
voice expressiveness;roboticness;;;
Big five;human-likeness;;;
Uncanny valley;voice quality;;;
trustworthiness;human-likeness;;;
emotion;human-likeness;;;
prosodic monotony;human-likeness;;;
pleasentness;anthropomorphism;;;
clarity;realism;;;
pleasentness;anthropomorphism;;;
approachability;human voice consistency;;;
intelligibility;realism;;;
eeriness;anthropomorphism;;;
warmth;humanness;;;
intelligibility;voice quality;;;
prosody;human-likeness;;;
intelligibility;human-likeness;;;
synthetic voice;anthropomorphism;;;
synthetic voice;voice quality;;;
synthetic voice;human-likeness;;;
synthetic voice;anthropomorphism;;;
synthetic voice;human-likeness;;;
synthetic voice;voice quality;;;
expressive voice;acceptability;;;
(dis)-embodiment;appropriateness;;;
Uncanny valley;acceptability;;;
technophilia;realism;;;
accent;humanness;;;
monotony;human-likeness;;;
empathy;voice quality;;;
enjoyment;acceptability;;;
intelligibility;artificiality;;;
dysarthria;human-likeness;;;
intelligibility;anthropomorphism;;;
dysarthria;human-likeness;;;
Parkinson's Disease;weird;;;
voice distortion;crippled;;;
monopitch;roboticness;;;
dysarthria;human-likeness;;;
dysarthria;acceptability;;;
Parkinson's Disease;anthropomorphism;;;
intelligibility;human-likeness;;;
dysarthria;anthropomorphism;;;
intelligibility;human-likeness;;;
stuttering;voice quality;;;
stuttering;bizarreness;;;
stuttering;acceptability;;;
cultural background;bizarreness;;;
dialect;normalcy;;;
speech fluency;acceptability;;;
speech rate;severity;;;
success;proficiency;;;
synthetic voice;normalcy;;;
speech disorder;acceptability;;;
intelligibility;severtiy;;;
foreign-accented speech;acceptability;;;
stuttering;bizarreness;;;
pleasentness;acceptability;;;
roughness;normalcy;;;
clarity;speech quality;;;
markedness;voice quality;;;
intelligibility;speech quality;;;
dissimilarity;voice quality;;;
source filter interaction;acceptability;;;
transgender;aliveness;;;
transgender;anthropomorphism;;;
femininity/masculinity;human-likeness;;;
gender prototypicaity;realism;;;
vocal fry;realism;;;
employability;organicness;;;
required listener concentration;;;;
vocal fry;;;;
autism spectrum disorder;;;;
embodiment;;;;
aphasia;;;;
intelligibility;;;;
Uncanny valley;;;;
jitter;;;;
shimmer;;;;
prosody;;;;
emotion;;;;
monotony;;;;
speech rate;;;;
