id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	abdulrahman (2022)	"<table><tr><td>Authors:</td><td>abdulrahman, amal; richards, deborah</td></tr><tr><td>Title:</td><td>is natural necessary? human voice versus synthetic voice for intelligent virtual agents</td></tr><tr><td>Source:</td><td>multimodal technologies and interaction, 6(7)</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3390/mti6070051	0.6546	0.3334	4	5	6	0.7742	2022	6	0.7742
2	abur (2021)	"<table><tr><td>Authors:</td><td>abur, defne; subaciute, austeja; daliri, ayoub; lester-smith, rosemary a.; lupiani, ashling a.; cilento, dante; enos, nicole m.; weerathunge, hasini r.; tardif, monique c.; stepp, cara e.</td></tr><tr><td>Title:</td><td>feedback and feedforward auditory-motor processes for voice and articulation in parkinson's disease</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 64(12), 4682-4694</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1044/2021_jslhr-21-00153	-0.8737	-0.389	5	2	14	0.5437	2021	14	0.5437
3	anand (2015)	"<table><tr><td>Authors:</td><td>anand, supraja; stepp, cara e.</td></tr><tr><td>Title:</td><td>listener perception of monopitch, naturalness, and intelligibility for speakers with parkinson's disease</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 58(4), 1134-1144</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1044/2015_jslhr-s-14-0243	-0.8734	-0.3008	5	7	46	1.6727	2015	46	1.6727
4	aylett (2020)	"<table><tr><td>Authors:</td><td>aylett, matthew p.; vinciarelli, alessandro; wester, mirjam</td></tr><tr><td>Title:</td><td>speech synthesis for the generation of artificial personality</td></tr><tr><td>Source:</td><td>ieee transactions on affective computing, 11(2), 361-372</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1109/taffc.2017.2763134	-0.012	0.3272	1	2	17	0.7816	2020	17	0.7816
5	baird (2018a)	"<table><tr><td>Authors:</td><td>baird, alice; jorgensen, stina hasse; parada-cabaleiro, emilia; cummins, nicholas; hantke, simone; schuller, bjoern</td></tr><tr><td>Title:</td><td>the perception of vocal traits in synthesized voices: age, gender, and human likeness</td></tr><tr><td>Source:</td><td>journal of the audio engineering society, 66(4), 277-285</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.17743/jaes.2018.0023	0.6148	-0.1025	2	7	13	2.7368	2018	13	2.7368
6	birkholz (2021)	"<table><tr><td>Authors:</td><td>birkholz, peter; drechsel, susanne</td></tr><tr><td>Title:</td><td>effects of the piriform fossae, transvelar acoustic coupling, and laryngeal wall vibration on the naturalness of articulatory speech synthesis</td></tr><tr><td>Source:</td><td>speech communication, 132, 96-105</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.specom.2021.06.002	0.1949	0.8596	1	1	5	0.1942	2021	5	0.1942
7	birkholz (2017)	"<table><tr><td>Authors:</td><td>birkholz, peter; martin, lucia; xu, yi; scherbaum, stefan; neuschaefer-rube, christiane</td></tr><tr><td>Title:</td><td>manipulation of the prosodic features of vocal tract length, nasality and articulatory precision using articulatory synthesis</td></tr><tr><td>Source:</td><td>computer speech and language, 41, 116-127</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.csl.2016.06.004	0.1953	0.8387	1	2	16	0.4267	2017	16	0.4267
8	coughlin-woods (2005)	"<table><tr><td>Authors:</td><td>coughlin-woods, s; lehman, me; cooke, pa</td></tr><tr><td>Title:</td><td>ratings of speech naturalness of children ages 8-16 years</td></tr><tr><td>Source:</td><td>perceptual and motor skills, 100(2), 295-304</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"		-0.8771	-0.0976	3	6	6	0.24	2005	6	0.24
9	duville (2024)	"<table><tr><td>Authors:</td><td>duville, mathilde marie; alonso-valerdi, luz maria; ibarra-zarate, david i.</td></tr><tr><td>Title:</td><td>improved emotion differentiation under reduced acoustic variability of speech in autism</td></tr><tr><td>Source:</td><td>bmc medicine, 22(1)</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1186/s12916-024-03341-y	-0.4327	0.2288	1	1	0	0	2024	0	0
10	duville (2022)	"<table><tr><td>Authors:</td><td>duville, mathilde marie; alonso-valerdi, luz maria; ibarra-zarate, david i. i.</td></tr><tr><td>Title:</td><td>neuronal and behavioral affective perceptions of human and naturalness-reduced emotional prosodies</td></tr><tr><td>Source:</td><td>frontiers in computational neuroscience, 16</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/10.3389/fncom.2022.1022787	-0.4039	0.2105	1	5	2	0.2581	2022	2	0.2581
11	eadie (2008)	"<table><tr><td>Authors:</td><td>eadie, tanya l.; doyle, tphilip c.; hansen, kerry; beaudin, tpaul g.</td></tr><tr><td>Title:</td><td>influence of speaker gender on listener judgments of tracheoesophageal speech</td></tr><tr><td>Source:</td><td>journal of voice, 22(1), 43-57</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	https://doi.org/10.1016/j.jvoice.2006.08.008	-0.772	-0.2962	5	2	13	1	2008	13	1
12	eadie (2002)	"<table><tr><td>Authors:</td><td>eadie, tl; doyle, pc</td></tr><tr><td>Title:</td><td>direct magnitude estimation and interval scaling of naturalness and severity in tracheoesophageal (te) speakers</td></tr><tr><td>Source:</td><td>journal of speech language and hearing research, 45(6), 1088-1096</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1044/1092-4388(2002/087)	-0.8479	-0.1532	3	5	34	2	2002	34	2
